Time,Bgn Entity,Bgn Pos LLA_DD,End Entity,End Pos LLA_DD,Earth Model,Az(M),Az(T),El,Cmp(T),Dist,Rng,Alt,Dist(B),Rng(B)
173 2015 11:00:00,origin,,Target_1,,WGS84,,304.6,,,,57403.2,350,,
173 2015 11:00:00,origin,,Target_2,,WGS84,,302.8,,,,57791.8,350,,
173 2015 11:00:00,origin,,Target_3,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:00,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:00,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:00,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:01.013,origin,,Target_1,,WGS84,,304.6,,,,57218.5,350,,
173 2015 11:00:01.013,origin,,Target_2,,WGS84,,302.8,,,,57606.4,350,,
173 2015 11:00:01.013,origin,,Target_3,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:01.013,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:01.013,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:01.013,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:02.025,origin,,Target_1,,WGS84,,304.7,,,,57032.2,350,,
173 2015 11:00:02.025,origin,,Target_2,,WGS84,,302.9,,,,57420.7,350,,
173 2015 11:00:02.025,origin,,Target_3,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:02.025,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:02.025,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:02.025,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:03.05,origin,,Target_1,,WGS84,,304.7,,,,56843,350,,
173 2015 11:00:03.05,origin,,Target_2,,WGS84,,302.9,,,,57232.6,350,,
173 2015 11:00:03.05,origin,,Target_3,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:03.05,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:03.05,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:03.05,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:04.083,origin,,Target_1,,WGS84,,304.7,,,,56651.9,350,,
173 2015 11:00:04.083,origin,,Target_2,,WGS84,,302.9,,,,57042.7,350,,
173 2015 11:00:04.083,origin,,Target_3,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:04.083,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:04.083,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:04.083,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:05.105,origin,,Target_1,,WGS84,,304.7,,,,56462.8,350,,
173 2015 11:00:05.105,origin,,Target_2,,WGS84,,303,,,,56854.8,350,,
173 2015 11:00:05.105,origin,,Target_3,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:05.105,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:05.105,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:05.105,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:06.132,origin,,Target_1,,WGS84,,304.8,,,,56272.9,350,,
173 2015 11:00:06.132,origin,,Target_2,,WGS84,,303,,,,56666,350,,
173 2015 11:00:06.132,origin,,Target_3,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:06.132,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:06.132,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:06.132,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:07.17,origin,,Target_1,,WGS84,,304.8,,,,56080.7,350,,
173 2015 11:00:07.17,origin,,Target_2,,WGS84,,303,,,,56474.9,350,,
173 2015 11:00:07.17,origin,,Target_3,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:07.17,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:07.17,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:07.17,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:08.211,origin,,Target_1,,WGS84,,304.8,,,,55888,350,,
173 2015 11:00:08.211,origin,,Target_2,,WGS84,,303,,,,56283.4,350,,
173 2015 11:00:08.211,origin,,Target_3,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:08.211,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:08.211,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:08.211,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:09.231,origin,,Target_1,,WGS84,,304.8,,,,55699,350,,
